"x,","y","astig_1","defocus","astig_2"
33,4,15.4663247366342,-5.76058466993585,-2.61345946897424
1,5,-12.0876664047974,-10.6721588690985,-0.151033654431408
2,5,-12.2028239043541,-11.2273229953569,-1.57413705661944
3,5,-10.8302573723651,-9.94032545026146,-1.65864658151984
4,5,-11.1730870406772,-9.97292170251965,-1.9881869863624
5,5,-11.6884874844507,-9.39241015286154,-2.94484431964343
6,5,-8.98038304380517,-7.97265545544882,-0.0393092617097748
7,5,-6.76488538424569,-7.65403939341339,0.816818997102671
8,5,-6.498864387178,-6.71521103899721,1.36571470313065
9,5,-3.36678295198989,-6.49745362850915,1.13375007890046
10,5,-9.04486176351956,-7.88435489132056,2.20939427722695
11,5,-7.00219500314581,-6.72252928261434,5.2019844159583
12,5,-0.214929219145671,-5.18431348311932,4.25516214033939
13,5,-1.08323695193024,-4.00288516956722,3.77199282004746
14,5,-3.77302493878079,-5.11617089595525,4.50540276835847
15,5,-5.64457050435229,-6.1427783052971,5.8301789586223
16,5,-1.7062861343544,-3.97142979380695,4.251039866363
17,5,-4.20850734409135,-5.59459319719859,5.98025875000959
18,5,-1.20402490956793,-4.02540700765222,3.93456393760327
19,5,-0.111068736753145,-4.15094963462167,3.4209083364525
20,5,1.35393442746911,-4.39801594547931,2.22102821219783
21,5,-1.04268562752814,-5.92912551523833,3.61903004064592
22,5,0.359259359801493,-6.25579474948234,2.49575894766066
23,5,1.89343834445014,-6.69993413027684,2.84979963378963
24,5,4.54142996887136,-6.87542762335371,3.31848773197378
25,5,4.41043407422915,-6.99827001577856,3.07252318533343
26,5,3.38237469057152,-7.64234165093849,0.743575662112178
27,5,5.45064390033192,-8.17425773930813,1.40588748792224
28,5,8.01745275632577,-9.42827733241699,2.84992004433507
29,5,5.745477398567,-10.046454421419,2.8552514357199
30,5,7.15043280714083,-10.9618927755776,0.397359541373446
31,5,8.21799197202713,-11.5105776026722,-0.456409163150349
32,5,6.17923556349932,-11.2192511122331,-1.50354046162158
33,5,11.0538256232397,-7.59678181583194,-4.87652690587617
1,6,-11.0059746635249,-11.04326611462,-0.304420075796643
